"","Culm_diameter","Culm_length","Culm_number","Grain_length","Grain_width","Grain_weight","Heading_date","Ligule_length","Leaf_length","Leaf_width","Panicle_length","Seedling_height"
"IRIS_313.9634",4,158,16,9,2.7,2,102,26,62,1.6,21,57
"IRIS_313.11310",5,122,12,7.8,3,2.4,86,21,64,1.6,23,56
"IRIS_313.11284",5,133,15,8.5,3.1,2.6,102,27,64,1.4,26,52
"IRIS_313.8935",5,99,20,8.4,2.3,1.7,98,19,50,1,24,60
"IRIS_313.11285",6,170,13,8.6,3.3,2.7,104,13,72,1.8,27,52
"IRIS_313.9427",4,130,15,8.9,2.6,2.5,92,23,58,1.5,23,59
"IRIS_313.8982",5,124,16,8.7,2.8,2.5,83,26,78,1.5,26,54
"IRIS_313.8458",4,141,15,9.3,2.9,2.6,97,21,55,1.3,28,51
"IRIS_313.8414",4,139,11,9.3,2.6,1.9,96,23,51,1.1,24,55
"IRIS_313.11286",5,146,13,8.8,3.3,2.2,117,22,71,1.6,25,32
"IRIS_313.11287",5,159,11,9.6,2.9,2.5,102,29,63,1.5,21,49
"IRIS_313.11288",5,120,16,8.8,3.1,2.6,83,10,63,1,25,59
"IRIS_313.11442",5,151,13,9.2,3.3,3,112,31,70,1.4,26,55
"IRIS_313.11443",4,93,14,8.6,3.1,1.8,92,23,63,1.2,22,47
"IRIS_313.11289",6,152,18,8.6,3.8,2.8,109,28,85,1.7,36,53
"IRIS_313.8453",5,142,16,8.5,2.6,2,94,23,68,1.4,23,57
"IRIS_313.10845",4,137,24,8.4,3,2.4,118,16,54,1.1,25,35
"IRIS_313.9424",3,97,15,8.5,2.2,1.8,76,15,54,1.1,26,46
"IRIS_313.10847",5,142,19,8.4,3.4,2.8,130,24,65,1.5,27,43
"IRIS_313.9201",5,111,14,9.1,2.8,2.3,141,19,48,1,26,60
"IRIS_313.10664",4,103,21,8.2,2.7,2.1,97,18,58,1,24,41
"IRIS_313.10848",5,136,10,8.6,3.1,2.6,77,15,54,1.9,28,36
"IRIS_313.10666",4,108,9,9.8,2.9,1.5,97,19,56,1.4,28,43
"IRIS_313.11290",4,76,16,8.6,3,2.3,84,22,57,1.4,17,38
"IRIS_313.10849",5,115,17,8.5,3.3,2.5,70,19,45,1.3,30,35
"IRIS_313.11255",4,124,17,8.3,2.9,1.8,90,20,56,1.1,24,54
